PK,SK,name,hiragana,level,english,vietnamese,chinese,korean,indonesian,hindi,lexical_category,accent_up,accent_down,EntityType
WORD,55,レストラン,レストラン,2,restaurant,nhà hàng,餐厅,레스토랑,restoran,रेस्तरां,noun,,1,Word
WORD,56,デパート,デパート,6,department stores,siêu thị lớn,百货商店,백화점,department store,डिपार्टमेंट स्टोर,noun,1,2,Word
WORD,57,映画館,えいがかん,4,movie theatre,rạp chiếu phim,电影院,영화관,bioskop,सिनेमा घर,noun,1,3,Word
WORD,58,本屋,ほんや,2,book store,hiệu sách,书店,책방,toko buku,किताब की दुकान,noun,,1,Word
WORD,59,花屋,はなや,2,florist,tiệm hoa,花店,꽃집,toko bunga,फूल की दुकान,noun,1,2,Word
WORD,60,ケーキ屋,ケーキや,4,cake shop,tiệm bánh ngọt,蛋糕店,케이크 가게,toko kue,केक की दुकान,noun,1,,Word
WORD,61,ラーメン屋,ラーメンや,4,ramen shop,quán mì ramen,拉面店,라멘집,kedai ramen,रामेन की दुकान,noun,1,,Word
WORD,62,カレー屋,カレーや,6,curry restaurant,quán cà ri,咖喱店,카레 가게,restoran kari,करी की दुकान,noun,1,,Word
WORD,63,コンビニ,コンビニ,2,convenience store,cửa hàng tiện lợi,便利店,편의점,minimarket,सुविधा स्टोर,noun,1,,Word
WORD,64,家,いえ,1,house,nhà,家,집,rumah,घर,noun,1,,Word
WORD,65,学校,がっこう,1,school,trường học,学校,학교,sekolah,स्कूल,noun,1,,Word
WORD,66,大学,だいがく,2,university,đại học,大学,대학교,universitas,विश्वविद्यालय,noun,1,,Word
WORD,67,アパート,アパート,2,apartment,chung cư,公寓,아파트,apartemen,अपार्टमेंट,noun,1,2,Word
WORD,68,トイレ,トイレ,1,toilet,nhà vệ sinh,厕所,화장실,toilet,शौचालय,noun,,1,Word
WORD,69,博物館,はくぶつかん,5,museum,viện bảo tàng,博物馆,박물관,museum,संग्रहालय,noun,1,4,Word
WORD,70,公園,こうえん,1,park,công viên,公园,공원,taman,पार्क,noun,1,,Word
WORD,71,大使館,たいしかん,5,embassy,đại sứ quán,大使馆,대사관,kedutaan besar,दूतावास,noun,1,3,Word
WORD,72,町,まち,2,town,thị trấn,城镇,마을,kota,शहर,noun,1,,Word
WORD,73,北口,きたぐち,4,north exit,cửa bắc,北口,북쪽 출구,pintu keluar utara,उत्तर निकास,noun,1,,Word
WORD,74,南口,みなみぐち,4,south exit,cửa nam,南口,남쪽 출구,pintu keluar selatan,दक्षिण निकास,noun,1,,Word
WORD,75,東口,ひがしぐち,3,east exit,cửa đông,东口,동쪽 출구,pintu keluar timur,पूर्वी निकास,noun,1,,Word
WORD,76,西口,にしぐち,3,west exit,cửa tây,西口,서쪽 출구,pintu keluar barat,पश्चिमी निकास,noun,1,,Word
WORD,77,季節,きせつ,2,season,mùa,季节,계절,musim,मौसम,noun,,1,Word
WORD,78,春,はる,2,spring,mùa xuân,春天,봄,musim semi,वसंत,noun,,1,Word
WORD,79,夏,なつ,2,summer,mùa hè,夏天,여름,musim panas,गर्मी,noun,1,,Word
WORD,80,秋,あき,2,autumn,mùa thu,秋天,가을,musim gugur,शरद,noun,,1,Word
WORD,81,冬,ふゆ,2,winter,mùa đông,冬天,겨울,musim dingin,सर्दी,noun,1,,Word
WORD,82,家族,かぞく,2,family,gia đình,家人,가족,keluarga,परिवार,noun,,1,Word
WORD,83,友達,ともだち,2,friend,bạn bè,朋友,친구,teman,दोस्त,noun,1,,Word
WORD,84,父,ちち,3,father,cha,父亲,아버지,ayah,पिता,noun,,1,Word
WORD,85,お父さん,おとうさん,1,father,ba,爸爸,아버지,ayah,पिता,noun,1,2,Word
WORD,86,母,はは,3,mother,mẹ,母亲,어머니,ibu,माता,noun,,1,Word
WORD,87,お母さん,おかあさん,1,mother,má,妈妈,어머니,ibu,माँ,noun,1,2,Word
WORD,88,兄,あに,3,older brother,anh trai,哥哥,형/오빠,kakak laki-laki,बड़े भाई,noun,,1,Word
WORD,89,お兄さん,おにいさん,2,older brother,anh,哥哥,형/오빠,kakak laki-laki,बड़े भाई,noun,1,2,Word
WORD,90,姉,あね,3,sister,chị gái,姐姐,누나/언니,kakak perempuan,बड़ी बहन,noun,1,,Word
WORD,91,お姉さん,おねえさん,2,older sister,chị,姐姐,누나/언니,kakak perempuan,बड़ी बहन,noun,1,2,Word
WORD,92,弟,おとうと,2,younger brother,em trai,弟弟,남동생,adik laki-laki,छोटे भाई,noun,1,,Word
WORD,93,妹,いもうと,2,younger sister,em gái,妹妹,여동생,adik perempuan,छोटी बहन,noun,1,,Word
WORD,94,兄弟,きょうだい,3,brothers,anh em,兄弟姐妹,형제자매,saudara kandung,भाई-बहन,noun,,1,Word
WORD,95,息子,むすこ,3,son,con trai,儿子,아들,anak laki-laki,बेटा,noun,1,,Word
WORD,96,娘,むすめ,3,daughter,con gái,女儿,딸,anak perempuan,बेटी,noun,1,,Word
WORD,97,男,おとこ,2,man,đàn ông,男人,남자,laki-laki,आदमी,noun,1,,Word
WORD,98,女,おんな,2,woman,phụ nữ,女人,여자,perempuan,औरत,noun,1,,Word
WORD,99,夫,おっと,2,husband,chồng,丈夫,남편,suami,पति,noun,1,,Word
WORD,100,ご主人,ごしゅじん,4,husband,chồng,丈夫,남편,suami,पति,noun,1,2,Word
WORD,101,妻,つま,2,wife,vợ,妻子,아내,istri,पत्नी,noun,,1,Word
WORD,102,奥さん,おくさん,3,wife,vợ,妻子,부인,istri,पत्नी,noun,,1,Word
WORD,103,両親,りょうしん,3,parents,cha mẹ,父母,부모님,orang tua,माता-पिता,noun,,1,Word
WORD,104,子供,こども,1,child,con,孩子,아이,anak,बच्चा,noun,1,,Word
WORD,105,祖父,そふ,3,grandfather,ông nội,祖父,할아버지,kakek,दादा,noun,,1,Word
WORD,106,おじいさん,おじいさん,2,grandfather,ông,爷爷,할아버지,kakek,दादा,noun,1,2,Word
WORD,107,祖母,そぼ,3,grandmother,bà nội,祖母,할머니,nenek,दादी,noun,,1,Word
WORD,108,おばあさん,おばあさん,2,granny,bà,奶奶,할머니,nenek,दादी,noun,1,2,Word
WORD,109,叔父,おじ,6,uncle,chú,叔叔,삼촌,paman,चाचा/मामा,noun,1,,Word
WORD,110,叔母,おば,5,aunt,cô,姑妈,숙모,bibi,चाची/मामी,noun,1,,Word
WORD,111,孫,まご,3,grandchild,cháu,孙子,손주,cucu,पोता,noun,1,,Word
WORD,112,動物,どうぶつ,3,animal,động vật,动物,동물,hewan,जानवर,noun,1,,Word
WORD,113,豚,ぶた,2,pig,lợn,猪,돼지,babi,सूअर,noun,1,,Word
WORD,114,牛,うし,1,cattle,bò,牛,소,sapi,गाय,noun,1,,Word
WORD,115,鶏,にわとり,2,chicken,gà,鸡,닭,ayam,मुर्गी,noun,1,,Word
WORD,116,服,ふく,1,clothes,quần áo,衣服,옷,pakaian,कपड़े,noun,,1,Word
WORD,117,着物,きもの,4,kimono,kimono,和服,기모노,kimono,किमोनो,noun,1,,Word
WORD,118,帽子,ぼうし,2,hat,mũ,帽子,모자,topi,टोपी,noun,1,,Word
WORD,119,スーツ,スーツ,5,suit,com lê,西装,정장,setelan,सूट,noun,,1,Word
WORD,120,ジャケット,ジャケット,9,jacket,áo khoác,夹克,재킷,jaket,जैकेट,noun,,1,Word
WORD,121,セーター,セーター,4,sweater,áo len,毛衣,스웨터,sweter,स्वेटर,noun,,1,Word
WORD,122,コート,コート,4,coat,áo choàng,大衣,코트,mantel,कोट,noun,,1,Word
WORD,124,ドレス,ドレス,5,dress,đầm,连衣裙,드레스,gaun,पोशाक,noun,,1,Word
WORD,125,下着,したぎ,2,underwear,đồ lót,内衣,속옷,pakaian dalam,अंडरवियर,noun,1,,Word
WORD,126,イヤリング,イヤリング,4,earrings,hoa tai,耳环,귀걸이,anting-anting,कान की बालियाँ,noun,,1,Word
WORD,127,ベルト,ベルト,4,belt,thắt lưng,腰带,벨트,sabuk,बेल्ट,noun,1,,Word
WORD,128,ネクタイ,ネクタイ,6,tie,cà vạt,领带,넥타이,dasi,टाई,noun,,1,Word
WORD,129,手袋,てぶくろ,4,gloves,găng tay,手套,장갑,sarung tangan,दस्ताने,noun,1,2,Word
WORD,130,眼鏡,めがね,4,glasses,kính,眼镜,안경,kacamata,चश्मा,noun,,1,Word
WORD,131,サングラス,サングラス,6,sunglasses,kính râm,太阳镜,선글라스,kacamata hitam,धूप का चश्मा,noun,1,3,Word
WORD,132,ズボン,ズボン,2,pants,quần,裤子,바지,celana panjang,पैंट,noun,,1,Word
WORD,133,スカート,スカート,2,skirt,váy,裙子,치마,rok,स्कर्ट,noun,1,3,Word
WORD,134,靴下,くつした,2,socks,tất,袜子,양말,kaus kaki,मोज़े,noun,1,2,Word
WORD,135,靴,くつ,1,shoes,giày,鞋,신발,sepatu,जूते,noun,1,,Word
WORD,136,サンダル,サンダル,2,sandals,dép,凉鞋,샌들,sandal,चप्पल,noun,1,,Word
WORD,137,海,うみ,1,sea,biển,海,바다,laut,समुद्र,noun,,1,Word
WORD,138,川,かわ,2,river,sông,河,강,sungai,नदी,noun,1,,Word
WORD,139,山,やま,1,mountain,núi,山,산,gunung,पहाड़,noun,1,,Word
WORD,140,風,かぜ,4,wind,gió,风,바람,angin,हवा,noun,1,,Word
WORD,141,木,き,1,tree,cây,树,나무,pohon,पेड़,noun,,,Word
WORD,142,森,もり,2,forest,rừng,森林,숲,hutan,जंगल,noun,1,,Word
WORD,143,空,そら,2,sky,bầu trời,天空,하늘,langit,आकाश,noun,,1,Word
WORD,144,雲,くも,2,cloud,mây,云,구름,awan,बादल,noun,,1,Word
WORD,145,池,いけ,4,pond,hồ,池塘,연못,kolam,तालाब,noun,1,,Word
WORD,146,花,はな,2,flower,hoa,花,꽃,bunga,फूल,noun,1,,Word
WORD,147,草,くさ,3,grass,cỏ,草,풀,rumput,घास,noun,1,,Word
WORD,148,体,からだ,1,body,cơ thể,身体,몸,tubuh,शरीर,noun,1,,Word
WORD,149,頭,あたま,1,head,đầu,头,머리,kepala,सिर,noun,1,,Word
WORD,150,首,くび,2,neck,cổ,脖子,목,leher,गर्दन,noun,1,,Word
WORD,151,腕,うで,2,arm,cánh tay,胳膊,팔,lengan,बाँह,noun,1,,Word
WORD,152,指,ゆび,3,finger,ngón tay,手指,손가락,jari,उंगली,noun,1,,Word
WORD,153,口,くち,2,mouth,miệng,嘴,입,mulut,मुँह,noun,1,,Word
WORD,154,耳,みみ,2,ear,tai,耳朵,귀,telinga,कान,noun,1,,Word
WORD,155,目,め,1,eye,mắt,眼睛,눈,mata,आँख,noun,,,Word
WORD,156,鼻,はな,2,nose,mũi,鼻子,코,hidung,नाक,noun,1,,Word
WORD,157,髪,かみ,2,hair,tóc,头发,머리카락,rambut,बाल,noun,1,,Word
WORD,158,食べ物,たべもの,2,food,thức ăn,食物,음식,makanan,खाना,noun,1,3,Word
WORD,159,料理,りょうり,2,cooking,món ăn / nấu ăn,烹饪,요리,masakan,खाना बनाना,noun,,1,Word
WORD,160,ご飯,ごはん,1,rice / meal,cơm,饭,밥,nasi,चावल,noun,,1,Word
WORD,161,パン,パン,2,bread,bánh mì,面包,빵,roti,ब्रेड,noun,,1,Word
WORD,162,ラーメン,ラーメン,3,ramen,mì ramen,拉面,라면,ramen,रामेन,noun,,1,Word
WORD,163,スパゲッティ,スパゲッティ,4,spaghetti,mì spaghetti,意大利面,스파게티,spageti,स्पेगेटी,noun,1,,Word
WORD,164,カレーライス,カレーライス,2,curry rice,cơm cà ri,咖喱饭,카레라이스,nasi kari,करी चावल,noun,1,4,Word
WORD,165,ハンバーガー,ハンバーガー,6,hamburger,hamburger,汉堡,햄버거,hamburger,हैमबर्गर,noun,1,3,Word
WORD,166,サンドウィッチ,サンドウィッチ,5,sandwich,bánh sandwich,三明治,샌드위치,roti lapis,सैंडविच,noun,1,4,Word
WORD,167,ドーナツ,ドーナッツ,5,donut,bánh donut,甜甜圈,도넛,donat,डोनट,noun,,1,Word
WORD,168,弁当,べんとう,2,bento,cơm hộp,便当,도시락,bekal,डिब्बा,noun,1,3,Word
WORD,169,アイスクリーム,アイスクリーム,4,ice cream,kem,冰淇淋,아이스크림,es krim,आइसक्रीम,noun,1,5,Word
WORD,170,ケーキ,ケーキ,3,cake,bánh kem,蛋糕,케이크,kue,केक,noun,,1,Word
WORD,171,朝ご飯,あさごはん,2,breakfast,bữa sáng,早饭,아침밥,sarapan,नाश्ता,noun,1,3,Word
WORD,172,昼ご飯,ひるごはん,3,lunch,bữa trưa,午饭,점심밥,makan siang,दोपहर का खाना,noun,1,3,Word
WORD,173,晩ご飯,ばんごはん,3,dinner,bữa tối,晚饭,저녁밥,makan malam,रात का खाना,noun,1,3,Word
WORD,174,スープ,スープ,4,soup,súp / canh,汤,수프,sup,सूप,noun,,1,Word
WORD,175,うどん,うどん,3,udon,mì udon,乌冬面,우동,udon,उडोन,noun,1,,Word
WORD,176,味噌汁,みそしる,4,miso soup,súp miso,味噌汤,미소시루,sup miso,मिसो सूप,noun,1,3,Word
WORD,177,ピザ,ピザ,6,pizza,bánh pizza,比萨,피자,pizza,पिज़्ज़ा,noun,,1,Word
WORD,178,おにぎり,おにぎり,2,rice ball,cơm nắm,饭团,주먹밥,onigiri,चावल का गोला,noun,1,2,Word
WORD,179,牛肉,ぎゅうにく,2,beef,thịt bò,牛肉,소고기,daging sapi,गाय का मांस,noun,1,,Word
WORD,180,豚肉,ぶたにく,3,pork,thịt heo,猪肉,돼지고기,daging babi,सूअर का मांस,noun,1,,Word
WORD,181,鶏肉,とりにく,2,chicken meat,thịt gà,鸡肉,닭고기,daging ayam,मुर्गी का मांस,noun,1,,Word
WORD,182,卵,たまご,2,egg,trứng,鸡蛋,계란,telur,अंडा,noun,1,2,Word
WORD,183,水,みず,1,water,nước,水,물,air,पानी,noun,1,,Word
WORD,184,牛乳,ぎゅうにゅう,2,milk,sữa bò,牛奶,우유,susu,दूध,noun,1,,Word
WORD,185,ビール,ビール,3,beer ,bia,啤酒,맥주,bir,बीयर,noun,,1,Word
WORD,186,お茶,おちゃ,3,tea,trà,茶,차,teh,चाय,noun,1,,Word
WORD,187,コーヒー,コーヒー,2,coffee,cà phê,咖啡,커피,kopi,कॉफी,noun,1,3,Word
WORD,188,ワイン,ワイン,4,wine,rượu vang,葡萄酒,와인,anggur,शराब,noun,,1,Word
WORD,189,ジュース,ジュース,2,juice,nước trái cây,果汁,주스,jus,जूस,noun,,1,Word
WORD,190,お酒,おさけ,1,liquor,rượu,酒,술,alkohol,शराब,noun,1,,Word
WORD,191,りんご,りんご,1,apple,táo,苹果,사과,apel,सेब,noun,1,,Word
WORD,192,バナナ,バナナ,4,banana,chuối,香蕉,바나나,pisang,केला,noun,,1,Word
WORD,193,みかん,みかん,1,orange,quýt,橘子,귤,jeruk,संतरा,noun,,1,Word
WORD,194,苺,いちご,4,strawberry,dâu tây,草莓,딸기,stroberi,स्ट्रॉबेरी,noun,1,,Word
WORD,195,車,くるま,2,car,xe hơi,汽车,차,mobil,गाड़ी,noun,1,,Word
WORD,196,タクシー,タクシー,3,taxi,xe taxi,出租车,택시,taksi,टैक्सी,noun,,1,Word
WORD,197,バス,バス,2,bus,xe buýt,公交车,버스,bus,बस,noun,,1,Word
WORD,198,バイク,バイク,4,autobike,xe máy,摩托车,오토바이,sepeda motor,मोटरसाइकिल,noun,,1,Word
WORD,199,自転車,じてんしゃ,2,bicycle,xe đạp,自行车,자전거,sepeda,साइकिल,noun,1,,Word
WORD,200,電車,でんしゃ,2,train,xe điện (tàu),电车,전철,kereta,ट्रेन,noun,1,,Word
WORD,201,地下鉄,ちかてつ,4,subway,tàu điện ngầm,地铁,지하철,kereta bawah tanah,मेट्रो,noun,1,,Word
WORD,202,飛行機,ひこうき,2,plane,máy bay,飞机,비행기,pesawat,हवाई जहाज़,noun,1,2,Word
WORD,203,船,ふね,3,boat,thuyền,船,배,kapal,नाव,noun,,1,Word
WORD,204,テニス,テニス,3,tennis,quần vợt,网球,테니스,tenis,टेनिस,noun,,1,Word
WORD,205,サッカー,サッカー,4,soccer,bóng đá,足球,축구,sepak bola,फ़ुटबॉल,noun,,1,Word
WORD,206,バスケットボール,バスケットボール,16,basketball,bóng rổ,篮球,농구,bola basket,बास्केटबॉल,noun,1,6,Word
WORD,207,ゴルフ,ゴルフ,4,golf,gôn,高尔夫,골프,golf,गोल्फ,noun,,1,Word
WORD,208,野球,やきゅう,4,baseball,bóng chày,棒球,야구,bisbol,बेसबॉल,noun,1,,Word
WORD,209,卓球,たっきゅう,6,table tennis,bóng bàn,乒乓球,탁구,tenis meja,टेबल टेनिस,noun,1,,Word
WORD,210,鉛筆,えんぴつ,2,pencil,bút chì,铅笔,연필,pensil,पेंसिल,noun,1,,Word
WORD,211,ペン,ペン,1,pen,bút,笔,펜,pena,पेन,noun,,1,Word
WORD,212,ボールペン,ボールペン,2,ballpoint pen,bút bi,圆珠笔,볼펜,pulpen,बॉलपेन,noun,1,,Word
WORD,213,シャーペン,シャーペン,4,mechanical pencil,bút chì kim,自动铅笔,샤프펜슬,pensil mekanik,मैकेनिकल पेंसिल,noun,1,4,Word
WORD,214,万年筆,まんねんひつ,13,fountain pen,bút máy,钢笔,만년필,pulpen,फ़ाउंटेन पेन,noun,1,3,Word
WORD,215,消しゴム,けしゴム,4,eraser,cục tẩy,橡皮,지우개,penghapus,रबर,noun,1,,Word
WORD,216,はさみ,はさみ,2,scissors,kéo,剪刀,가위,gunting,कैंची,noun,1,2,Word
WORD,217,紙,かみ,2,paper,giấy,纸,종이,kertas,कागज़,noun,1,,Word
WORD,218,ノート,ノート,3,notes,vở,笔记本,공책,buku catatan,नोटबुक,noun,,1,Word
WORD,219,筆箱,ふでばこ,6,pencil case,hộp bút,铅笔盒,필통,kotak pensil,पेंसिल बॉक्स,noun,1,,Word
WORD,220,計算機,けいさんき,5,calculator,máy tính,计算器,계산기,kalkulator,कैलकुलेटर,noun,1,3,Word
WORD,222,玄関,げんかん,4,entrance,cửa ra vào,玄关,현관,pintu masuk,प्रवेश द्वार,noun,,1,Word
WORD,223,台所,だいどころ,4,kitchen,nhà bếp,厨房,부엌,dapur,रसोई घर,noun,1,,Word
WORD,224,部屋,へや,1,room,phòng,房间,방,kamar,कमरा,noun,1,,Word
WORD,225,ドア,ドア,2,door,cửa,门,문,pintu,दरवाज़ा,noun,,1,Word
WORD,226,テーブル,テーブル,3,table,bàn,桌子,테이블,meja,मेज़,noun,1,,Word
WORD,227,椅子,イス,2,chair,ghế,椅子,의자,kursi,कुर्सी,noun,1,,Word
WORD,228,机,つくえ,1,desk,bàn,桌子,책상,meja,मेज़,noun,1,,Word
WORD,229,押し入れ,おしいれ,6,closet,tủ âm tường,壁橱,벽장,lemari,कोठरी,noun,1,,Word
WORD,230,本棚,ほんだな,4,bookshelf,kệ sách,书架,책장,rak buku,किताबों की अलमारी,noun,,1,Word
WORD,231,窓,まど,2,window,cửa sổ,窗户,창문,jendela,खिड़की,noun,,1,Word
WORD,232,階段,かいだん,4,stairs,cầu thang,楼梯,계단,tangga,सीढ़ियाँ,noun,1,,Word
WORD,233,ベッド,ベッド,2,bed,giường,床,침대,tempat tidur,बिस्तर,noun,,1,Word
WORD,234,花瓶,かびん,4,vase,bình hoa,花瓶,꽃병,vas bunga,फूलदान,noun,1,,Word
WORD,235,屋根,やね,3,roof,mái nhà,屋顶,지붕,atap,छत,noun,,1,Word
WORD,236,キッチン,キッチン,7,kitchen,nhà bếp,厨房,주방,dapur,रसोई,noun,,1,Word
WORD,237,エアコン,エアコン,3,air conditioning,điều hòa,空调,에어컨,AC,एयर कंडीशनर,noun,1,,Word
WORD,238,日曜日,にちようび,1,sunday,chủ nhật,星期日,일요일,Minggu,रविवार,noun,1,3,Word
WORD,239,月曜日,げつようび,1,monday,thứ hai,星期一,월요일,Senin,सोमवार,noun,1,3,Word
WORD,240,火曜日,かようび,2,tuesday,thứ ba,星期二,화요일,Selasa,मंगलवार,noun,1,2,Word
WORD,241,水曜日,すいようび,2,wednesday,thứ tư,星期三,수요일,Rabu,बुधवार,noun,1,3,Word
WORD,242,木曜日,もくようび,2,thursday,thứ năm,星期四,목요일,Kamis,गुरुवार,noun,1,3,Word
WORD,243,金曜日,きんようび,2,friday,thứ sáu,星期五,금요일,Jumat,शुक्रवार,noun,1,3,Word
WORD,244,土曜日,どようび,1,saturday,thứ bảy,星期六,토요일,Sabtu,शनिवार,noun,1,2,Word
WORD,245,一昨日,おととい,2,the day before yesterday,hôm kia,前天,그저께,kemarin lusa,परसों,noun,1,3,Word
WORD,246,昨日,きのう,1,yesterday,hôm qua,昨天,어제,kemarin,कल,noun,1,2,Word
WORD,247,今日,きょう,1,today,hôm nay,今天,오늘,hari ini,आज,noun,,1,Word
WORD,248,明日,あした,1,tomorrow,ngày mai,明天,내일,besok,कल,noun,1,,Word
WORD,249,明後日,あさって,2,the day after tomorrow,ngày kia,后天,모레,lusa,परसों,noun,1,2,Word
WORD,250,先週,せんしゅう,2,last week,tuần trước,上周,지난주,minggu lalu,पिछले हफ़्ते,noun,1,,Word
WORD,251,今週,こんしゅう,2,this week,tuần này,这周,이번주,minggu ini,इस हफ़्ते,noun,1,,Word
WORD,252,来週,らいしゅう,2,next week,tuần sau,下周,다음주,minggu depan,अगले हफ़्ते,noun,1,,Word
WORD,253,先月,せんげつ,3,last month,tháng trước,上个月,지난달,bulan lalu,पिछले महीने,noun,,1,Word
WORD,254,今月,こんげつ,2,this month,tháng này,这个月,이번달,bulan ini,इस महीने,noun,1,,Word
WORD,255,来月,らいげつ,3,next month,tháng sau,下个月,다음달,bulan depan,अगले महीने,noun,,1,Word
WORD,256,去年,きょねん,2,last year,năm ngoái,去年,작년,tahun lalu,पिछले साल,noun,,1,Word
WORD,257,今年,ことし,1,this year,năm nay,今年,올해,tahun ini,इस साल,noun,1,,Word
