PK,SK,character,english,vietnamese,strokes,onyomi,kunyomi,level
KANJI,48,手,hand,tay,4,しゅ,て,2
KANJI,49,週,week,tuần,11,しゅう,,3
KANJI,50,十,ten,mười,2,じゅう,とお,2
KANJI,51,出,out,ngoài,5,しゅつ,でる,2
KANJI,52,女,woman,đàn bà,3,じょ,おんな,2
KANJI,53,小,small,bé nhỏ,3,しょう,ちいさい,2
KANJI,54,上,above,bên trên,3,じょう,うえ,2
KANJI,55,食,food,đồ ăn,9,しょく,たべる,3
KANJI,56,人,people,mọi người,2,じん,ひと,2
KANJI,57,水,water,nước,4,すい,みず,2
KANJI,58,生,raw,thô,5,せい,いきる,3
KANJI,59,西,west,phía tây,6,せい,にし,3
KANJI,60,青,blue,màu xanh da trời,8,せい,あおい,3
KANJI,61,赤,red,màu đỏ,7,せき,あかい,3
KANJI,62,千,thousand,ngàn,3,せん,ち,3
KANJI,63,川,river,dòng sông,3,せん,かわ,3
KANJI,64,先,destination,điểm đến,6,せん,さき,3
KANJI,65,前,before,trước,9,ぜん,まえ,2
KANJI,66,足,feet,bàn chân,7,そく,あし,2
KANJI,67,大,large,lớn,3,だい,おおきい,2
KANJI,68,男,man,người đàn ông,7,だん,おとこ,2
KANJI,69,中,medium,trung bình,4,ちゅう,なか,3
KANJI,70,長,long,dài,8,ちょう,ながい,3
KANJI,71,天,heaven,thiên đường,4,てん,あめ,3
KANJI,72,店,shop,cửa hàng,8,てん,みせ,3
KANJI,73,電,electric,điện,13,でん,,3
KANJI,74,土,soil,đất,3,ど,つち,3
KANJI,75,東,east,phía đông,8,とう,ひがし,3
KANJI,76,同,same,như nhau,6,どう,おなじ,3
KANJI,77,読,read,đọc,14,どく,よむ,3
KANJI,78,南,south,phía nam,9,なん,みなみ,3
KANJI,79,二,two,hai,2,に,ふたつ,2
KANJI,80,日,day,ngày,4,にち,ひ,2
KANJI,81,入,enter,đi vào,2,にゅう,はいる,2
KANJI,82,年,year,năm,6,ねん,とし,2
KANJI,83,買,buy,mua,12,ばい,かう,3
KANJI,84,白,white,trắng,5,はく,しろい,3
KANJI,85,八,eight,tám,2,はち,やっつ,3
KANJI,86,半,half,một nửa,5,はん,,3
KANJI,87,百,hundred,trăm,6,ひゃく,,2
KANJI,88,父,father,bố,4,ふ,ちち,3
KANJI,89,分,minutes,phút,4,ぶん,わける,3
KANJI,90,聞,listen,nghe,14,ぶん,きく,3
KANJI,91,母,mother,mẹ,5,ぼ,はは,3
KANJI,92,北,north,phía bắc,5,ほく,きた,3
KANJI,93,木,tree,cây,4,もく,き,3
KANJI,94,本,books,sách,5,ほん,もと,2
KANJI,95,毎,every,mọi,6,まい,,3
KANJI,96,万,ten thousand,mười ngàn,3,まん,,3
KANJI,97,名,given name,tên đã cho,6,めい,な,3
KANJI,98,目,eye,mắt ,5,もく,め,2
KANJI,99,友,friend,bạn bè,4,ゆう,とも,3
KANJI,100,来,next,kế tiếp,7,らい,くる,3
KANJI,101,立,standing,đứng,5,りつ,たつ,3
KANJI,102,六,six,sáu,4,ろく,むっつ,3
KANJI,103,話,story,câu chuyện,13,わ,はなす,3
